Date&Time,Cloudfactor,Windspeed,powerProduction_WindTurbinePowerPlant@16/7_Bus0,powerProductionOptimal_WindTurbinePowerPlant@16/7_Bus0,powerProduction_SolarPowerPlant@12/5_Bus0,powerProductionOptimal_SolarPowerPlant@12/5_Bus0,powerProduction_SolarPowerPlant@20/7_Bus0,powerProductionOptimal_SolarPowerPlant@20/7_Bus0,Column1
2017.09.10   05.00,0.419,3.007,400,400,0,250,0,300,
2017.09.10   06.00,0.36,2.174,33.6829,400,0,250,0,300,
2017.09.10   07.00,0.316,1.874,13.712,400,0,250,0,300,
2017.09.10   08.00,0.082,2.218,38.4286,400,0,250,0,300,
2017.09.10   09.00,0.312,1.659,7.2008,400,0,250,0,300,
2017.09.10   10.00,0.097,1.082,1.2785,400,1.0844,250,0.0239,300,
2017.09.10   11.00,0.283,2.455,78.1625,400,76.3345,250,96.066,300,
2017.09.10   12.00,0.166,1.585,5.769,400,144.9586,250,192.0883,300,
2017.09.10   13.00,0,2.191,35.4427,400,207.0315,250,271.6974,300,
2017.09.10   14.00,0,1.251,2.1211,400,225.4721,250,293.3574,300,
2017.09.10   15.00,0.016,2.175,33.7839,400,231.8999,250,300.0704,300,
2017.09.10   16.00,0,2.898,294.6829,400,240.2447,250,309.989,300,
2017.09.10   17.00,0.155,0.313,0,400,202.9479,250,261.7123,300,
2017.09.10   18.00,0.366,1.261,2.1856,400,149.2725,250,192.7838,300,
2017.09.10   19.00,0.206,1.759,9.7159,400,178.6773,250,231.5653,300,
2017.09.10   20.00,0.393,1.98,18.8369,400,125.1869,250,162.9983,300,
2017.09.10   21.00,0.6,2.527,96.9779,400,68.9115,250,89.5418,300,
2017.09.10   22.00,0.531,1.669,7.4198,400,48.2601,250,54.4269,300,
2017.09.10   23.00,0.585,1.832,12.0909,400,0.3185,250,0.002,300,
2017.09.11   00.00,0.531,1.176,1.6943,400,0,250,0,300,
2017.09.11   01.00,0.441,2.638,135.2344,400,0,250,0,300,
2017.09.11   02.00,0.461,1.231,1.9977,400,0,250,0,300,
2017.09.11   03.00,0.327,1.043,1.1375,400,0,250,0,300,
2017.09.11   04.00,0.441,2.078,25.2645,400,0,250,0,300,
2017.09.11   05.00,0.364,2.325,52.9499,400,0,250,0,300,
2017.09.11   06.00,0.509,1.621,6.426,400,0,250,0,300,
2017.09.11   07.00,0.536,2.633,133.2239,400,0,250,0,300,
2017.09.11   08.00,0.7,1.605,6.1252,400,0,250,0,300,
2017.09.11   09.00,0.649,2.149,31.2524,400,0,250,0,300,
2017.09.11   10.00,0.673,2.135,29.9688,400,0.3053,250,0.0083,300,
2017.09.11   11.00,0.542,1.973,18.446,400,47.8025,250,61.2084,300,
2017.09.11   12.00,0.774,2.441,74.9522,400,39.0528,250,52.0234,300,
2017.09.11   13.00,0.753,1.277,2.2929,400,50.9782,250,67.0877,300,
2017.09.11   14.00,0.814,1.931,16.2652,400,41.8466,250,54.5493,300,
2017.09.11   15.00,0.941,2.036,22.2775,400,13.8793,250,17.9867,300,
2017.09.11   16.00,1,2.321,52.3191,400,0,250,0,300,
2017.09.11   17.00,0.988,1.813,11.4219,400,2.8768,250,3.715,300,
2017.09.11   18.00,1,1.446,3.8042,400,0,250,0,300,
2017.09.11   19.00,0.987,1.922,15.8325,400,2.9169,250,3.7877,300,
2017.09.11   20.00,0.793,3.082,400,400,42.496,250,55.4916,300,
2017.09.11   21.00,0.983,1.721,8.6705,400,2.9018,250,3.7904,300,
2017.09.11   22.00,0.951,2.592,117.8256,400,4.876,250,5.5632,300,
2017.09.11   23.00,1,2.631,132.428,400,0,250,0,300,
2017.09.12   00.00,0.862,1.976,18.6125,400,0,250,0,300,
2017.09.12   01.00,0.773,1.639,6.782,400,0,250,0,300,
2017.09.12   02.00,0.727,1.763,9.833,400,0,250,0,300,
2017.09.12   03.00,0.635,2.084,25.7227,400,0,250,0,300,
2017.09.12   04.00,0.694,2.902,298.2353,400,0,250,0,300,
2017.09.12   05.00,0.718,0.276,0,400,0,250,0,300,
2017.09.12   06.00,0.891,1.074,1.2482,400,0,250,0,300,
2017.09.12   07.00,0.718,3.094,400,400,0,250,0,300,
2017.09.12   08.00,0.819,0.703,0,400,0,250,0,300,
2017.09.12   09.00,0.582,2.137,30.1489,400,0,250,0,300,
2017.09.12   10.00,0.653,2.042,22.6816,400,0.2509,250,0.0084,300,
2017.09.12   11.00,0.747,2.515,93.5536,400,25.8651,250,33.7245,300,
2017.09.12   12.00,0.984,0.405,0,400,2.7483,250,3.6809,300,
2017.09.12   13.00,1,2.453,77.6956,400,0,250,0,300,
2017.09.12   14.00,0.79,1.852,12.8374,400,47.1413,250,61.57,300,
2017.09.12   15.00,1,1.572,5.5487,400,0,250,0,300,
2017.09.12   16.00,0.899,1.806,11.1849,400,24.1799,250,31.2865,300,
2017.09.12   17.00,0.993,3.239,400,400,1.675,250,2.166,300,
2017.09.12   18.00,0.757,0.811,0,400,56.9601,250,73.7964,300,
2017.09.12   19.00,0.512,1.776,10.2235,400,109.1665,250,142.0463,300,
2017.09.12   20.00,0.687,2.239,40.9238,400,63.9552,250,83.7622,300,
2017.09.12   21.00,0.496,2.831,241.0937,400,85.211,250,111.9147,300,
2017.09.12   22.00,0.665,1.51,4.6081,400,32.1624,250,37.1722,300,
2017.09.12   23.00,0.793,1.795,10.8223,400,0.0712,250,0.0006,300,
2017.09.13   00.00,0.767,1.058,1.1898,400,0,250,0,300,
2017.09.13   01.00,0.559,1.848,12.6845,400,0,250,0,300,
2017.09.13   02.00,0.798,1.603,6.0887,400,0,250,0,300,
2017.09.13   03.00,1,1.182,1.725,400,0,250,0,300,
2017.09.13   04.00,0.925,2.117,28.3956,400,0,250,0,300,
2017.09.13   05.00,0.863,1.642,6.8432,400,0,250,0,300,
2017.09.13   06.00,1,2.206,37.0717,400,0,250,0,300,
2017.09.13   07.00,1,1.245,2.0833,400,0,250,0,300,
2017.09.13   08.00,0.722,0.702,0,400,0,250,0,300,
2017.09.13   09.00,0.594,1.217,1.9157,400,0,250,0,300,
2017.09.13   10.00,0.478,2.308,50.3208,400,0.2915,250,0.0121,300,
2017.09.13   11.00,0.629,2.58,113.6652,400,37.1175,250,49.3241,300,
2017.09.13   12.00,0.688,1.75,9.4574,400,53.2635,250,71.7349,300,
2017.09.13   13.00,0.725,2.41,68.305,400,56.3939,250,74.6413,300,
2017.09.13   14.00,0.792,1.251,2.1211,400,46.5864,250,60.965,300,
2017.09.13   15.00,0.833,2.566,108.9966,400,39.1385,250,50.8795,300,
2017.09.13   16.00,0.895,0.975,0,400,25.0922,250,32.5133,300,
2017.09.13   17.00,0.764,1.319,2.6003,400,56.3614,250,72.9914,300,
2017.09.13   18.00,0.65,2.517,94.1158,400,81.8534,250,106.2207,300,
2017.09.13   19.00,0.796,1.746,9.3448,400,45.495,250,59.3204,300,
2017.09.13   20.00,0.765,1.889,14.3422,400,47.7856,250,62.7772,300,
2017.09.13   21.00,0.668,1.651,7.0303,400,55.5767,250,73.4136,300,
2017.09.13   22.00,0.777,1.426,3.5829,400,20.6029,250,24.1582,300,
2017.09.13   23.00,0.943,2.357,58.2771,400,0.0131,250,0.0001,300,
2017.09.14   00.00,0.817,0.687,0,400,0,250,0,300,
2017.09.14   01.00,0.838,1.907,15.1368,400,0,250,0,300,
2017.09.14   02.00,0.653,2.78,206.9347,400,0,250,0,300,
2017.09.14   03.00,0.664,2.2,36.4113,400,0,250,0,300,
2017.09.14   04.00,0.877,2.739,183.0169,400,0,250,0,300,
2017.09.14   05.00,0.812,1.485,4.2756,400,0,250,0,300,
2017.09.14   06.00,1,1.768,9.9814,400,0,250,0,300,
2017.09.14   07.00,0.793,2.993,391.6993,400,0,250,0,300,
2017.09.14   08.00,0.73,1.734,9.0148,400,0,250,0,300,
2017.09.14   09.00,0.561,2.407,67.6939,400,0,250,0,300,
2017.09.14   10.00,0.569,2.757,193.1567,400,0.1855,250,0.0096,300,
2017.09.14   11.00,0.712,2.012,20.7321,400,28.1697,250,38.1871,300,
2017.09.14   12.00,0.842,1.487,4.3013,400,26.8036,250,36.3046,300,
2017.09.14   13.00,0.825,1.699,8.1175,400,35.7682,250,47.4815,300,
2017.09.14   14.00,0.823,2.159,32.2028,400,39.5515,250,51.8623,300,
2017.09.14   15.00,0.999,1.766,9.9218,400,0.2339,250,0.3046,300,
2017.09.14   16.00,0.979,1.529,4.878,400,5.0092,250,6.5001,300,
2017.09.14   17.00,0.893,2.874,274.2396,400,25.5035,250,33.0771,300,
2017.09.14   18.00,0.921,1.433,3.6589,400,18.4323,250,23.9592,300,
2017.09.14   19.00,0.87,2.124,28.9973,400,28.9008,250,37.7634,300,
2017.09.14   20.00,1,3.257,400,400,0,250,0,300,
2017.09.14   21.00,1,2.005,20.3018,400,0,250,0,300,
2017.09.14   22.00,1,0.757,0,400,0,250,0,300,
2017.09.14   23.00,0.808,1.612,6.255,400,0.0293,250,0.0004,300,
2017.09.15   00.00,0.596,0.951,0,400,0,250,0,300,
2017.09.15   01.00,0.564,0.642,0,400,0,250,0,300,
2017.09.15   02.00,0.314,2.601,121.0456,400,0,250,0,300,
2017.09.15   03.00,0.432,0.343,0,400,0,250,0,300,
2017.09.15   04.00,0.667,2.001,20.06,400,0,250,0,300,
2017.09.15   05.00,0.678,1.527,4.8489,400,0,250,0,300,
2017.09.15   06.00,0.751,2.391,64.5257,400,0,250,0,300,
2017.09.15   07.00,0.65,2.33,53.7489,400,0,250,0,300,
2017.09.15   08.00,0.449,1.698,8.0932,400,0,250,0,300,
2017.09.15   09.00,0.481,1.205,1.848,400,0,250,0,300,
2017.09.15   10.00,0.592,1.346,2.8194,400,0.1351,250,0.0087,300,
2017.09.15   11.00,0.438,1.228,1.9799,400,53.6854,250,74.3151,300,
2017.09.15   12.00,0.269,1.767,9.9515,400,123.2089,250,167.8574,300,
2017.09.15   13.00,0.516,2.386,63.5664,400,98.5897,250,131.2694,300,
2017.09.15   14.00,0.351,2.321,52.3191,400,144.6794,250,190.098,300,
2017.09.15   15.00,0.103,1.712,8.4398,400,209.4027,250,273.1,300,
2017.09.15   16.00,0,2.288,47.3944,400,238.0847,250,309.4033,300,
