Date&Time,Cloudfactor,Windspeed,powerProduction_WindTurbinePowerPlant@16/7_Bus0,powerProductionOptimal_WindTurbinePowerPlant@16/7_Bus0,powerProduction_WindTurbinePowerPlant@24/7_Bus0,powerProductionOptimal_WindTurbinePowerPlant@24/7_Bus0,powerProduction_SolarPowerPlant@12/5_Bus0,powerProductionOptimal_SolarPowerPlant@12/5_Bus0,powerProduction_SolarPowerPlant@20/7_Bus0,powerProductionOptimal_SolarPowerPlant@20/7_Bus0,Column1
2017.09.06   08.00,0.584,2.302,49.4244,400,57.1517,500,0,250,0,300,
2017.09.06   09.00,0.476,2.22,38.6595,400,44.2967,500,0,250,0,300,
2017.09.06   10.00,0.632,1.644,6.8844,400,7.3972,500,1.1475,250,0.0116,300,
2017.09.06   11.00,0.73,0.666,0,400,0,500,30.8831,250,36.5357,300,
2017.09.06   12.00,0.851,0.984,0,400,0,500,26.4723,250,34.3895,300,
2017.09.06   13.00,0.861,1.422,3.5403,400,3.7109,500,29.1184,250,37.8091,300,
2017.09.06   14.00,0.725,2.073,24.8889,400,28.0542,500,62.5196,250,80.7524,300,
2017.09.06   15.00,0.525,2.311,50.7751,400,58.7726,500,112.7188,250,145.0038,300,
2017.09.06   16.00,0.636,0.591,0,400,0,500,88.0256,250,112.9797,300,
2017.09.06   17.00,0.796,1.219,1.9272,400,1.9749,500,49.3399,250,63.2878,300,
2017.09.06   18.00,0.764,2.134,29.8791,400,33.9091,500,56.0283,250,71.9298,300,
2017.09.06   19.00,0.893,1.018,1.0554,400,1.0575,500,24.3466,250,31.3186,300,
2017.09.06   20.00,0.678,2.856,259.8434,400,319.6275,500,67.5579,250,87.023,300,
2017.09.06   21.00,0.586,2.413,68.9216,400,80.6905,500,73.7777,250,94.0773,300,
2017.09.06   22.00,0.569,1.51,4.6081,400,4.878,500,49.7319,250,54.1056,300,
2017.09.06   23.00,0.786,1.149,1.5626,400,1.5888,500,0.7287,250,0.0025,300,
2017.09.07   00.00,0.872,3.182,400,400,500,500,0,250,0,300,
2017.09.07   01.00,0.763,1.288,2.3697,400,2.4471,500,0,250,0,300,
